iso_code,location,year_mon,Year,Month_num,monthly_new_cases_per_million,monthly_new_cases
ALB,Albania,Feb 2020,2020,2,0,0
ALB,Albania,Mar 2020,2020,3,85.4936006456702,243
ALB,Albania,Apr 2020,2020,4,186.4675240419967,530
ALB,Albania,May 2020,2020,5,128.0644882099751,364
ALB,Albania,Jun 2020,2020,6,491.8520728503989,1398
ALB,Albania,Jul 2020,2020,7,964.3537422624773,2741
ALB,Albania,Aug 2020,2020,8,1490.6847157847924,4237
ALB,Albania,Sep 2020,2020,9,1455.150338561695,4136
ALB,Albania,Oct 2020,2020,10,2542.291186278242,7226
ALB,Albania,Nov 2020,2020,11,6089.044223763844,17307
ALB,Albania,Dec 2020,2020,12,7083.654960493513,20134
ALB,Albania,Jan 2021,2021,1,6970.015318483013,19811
ALB,Albania,Feb 2021,2021,2,10217.013015433178,29040
ALB,Albania,Mar 2021,2021,3,6329.341051916077,17990
ALB,Albania,Apr 2021,2021,4,2085.62166513388,5928
ALB,Albania,May 2021,2021,5,432.7453859842565,1230
ALB,Albania,Jun 2021,2021,6,72.47605651443645,206
ALB,Albania,Jul 2021,2021,7,197.02228955380784,560
ALB,Albania,Aug 2021,2021,8,4681.390330005299,13306
ALB,Albania,Sep 2021,2021,9,8353.745077081454,23744
ALB,Albania,Oct 2021,2021,10,5336.84126828877,15169
ALB,Albania,Nov 2021,2021,11,5152.484697349136,14645
ALB,Albania,Dec 2021,2021,12,3616.414489863555,10279
ALB,Albania,Jan 2022,2022,1,16999.857158840074,48319
ALB,Albania,Feb 2022,2022,2,4580.768232126033,13020
ALB,Albania,Mar 2022,2022,3,743.7591430656247,2114
ALB,Albania,Apr 2022,2022,4,503.1104893963307,1430
ALB,Albania,May 2022,2022,5,349.7145639580089,994
ALB,Albania,Jun 2022,2022,6,1671.171206036763,4750
ALB,Albania,Jul 2022,2022,7,10993.140106068357,31246
ALB,Albania,Aug 2022,2022,8,6070.749296876704,17255
ALB,Albania,Sep 2022,2022,9,1009.3874084462049,2869
ALB,Albania,Oct 2022,2022,10,262.1100102099765,745
ALB,Albania,Nov 2022,2022,11,31.312471018373035,89
AUT,Austria,Feb 2020,2020,2,0.44744646219183665,4
AUT,Austria,Mar 2020,2020,3,1035.9504215896497,9261
AUT,Austria,Apr 2020,2020,4,686.6065962333734,6138
AUT,Austria,May 2020,2020,5,135.12883158193466,1208
AUT,Austria,Jun 2020,2020,6,113.98698624337038,1019
AUT,Austria,Jul 2020,2020,7,362.8790808375795,3244
AUT,Austria,Aug 2020,2020,8,700.0299900991284,6258
AUT,Austria,Sep 2020,2020,9,1912.8336258701017,17100
AUT,Austria,Oct 2020,2020,10,6402.51142750299,57236
AUT,Austria,Nov 2020,2020,11,19803.197385301854,177033
AUT,Austria,Dec 2020,2020,12,8676.322486746358,77563
AUT,Austria,Jan 2021,2021,1,5953.61076430903,53223
AUT,Austria,Feb 2021,2021,2,4850.319650159509,43360
AUT,Austria,Mar 2021,2021,3,9469.75692582803,84656
AUT,Austria,Apr 2021,2021,4,8307.626601900283,74267
AUT,Austria,May 2021,2021,5,3149.240062521694,28153
AUT,Austria,Jun 2021,2021,6,695.1080790150182,6214
AUT,Austria,Jul 2021,2021,7,929.2344403568967,8307
AUT,Austria,Aug 2021,2021,8,3174.297064404437,28377
AUT,Austria,Sep 2021,2021,9,6161.561507612687,55082
AUT,Austria,Oct 2021,2021,10,9458.79448750433,84558
AUT,Austria,Nov 2021,2021,11,36427.958826423994,325652
AUT,Austria,Dec 2021,2021,12,13747.680689228633,122899
AUT,Austria,Jan 2022,2022,1,63178.4337069474,564791
AUT,Austria,Feb 2022,2022,2,93485.10120735598,835721
AUT,Austria,Mar 2022,2022,3,130959.18986238448,1170725
AUT,Austria,Apr 2022,2022,4,37215.91204634382,332696
AUT,Austria,May 2022,2022,5,12686.113957678499,113409
AUT,Austria,Jun 2022,2022,6,19197.019290647462,171614
AUT,Austria,Jul 2022,2022,7,35155.42108795041,314276
AUT,Austria,Aug 2022,2022,8,20355.122596415484,181967
AUT,Austria,Sep 2022,2022,9,21080.43331162845,188451
AUT,Austria,Oct 2022,2022,10,34457.85205339333,308040
AUT,Austria,Nov 2022,2022,11,2984.803487666194,26683
BLR,Belarus,Feb 2020,2020,2,0.10487725375974466,1
BLR,Belarus,Mar 2020,2020,3,15.836465317721446,151
BLR,Belarus,Apr 2020,2020,4,1455.1718959164573,13875
BLR,Belarus,May 2020,2020,5,2992.0431725117555,28529
BLR,Belarus,Jun 2020,2020,6,2051.608838048125,19562
BLR,Belarus,Jul 2020,2020,7,596.7515738929471,5690
BLR,Belarus,Aug 2020,2020,8,423.17971892056977,4035
BLR,Belarus,Sep 2020,2020,9,711.9067985211468,6788
BLR,Belarus,Oct 2020,2020,10,2081.9183643846914,19851
BLR,Belarus,Nov 2020,2020,11,4002.640389740656,38165
BLR,Belarus,Dec 2020,2020,12,6044.810274950404,57637
BLR,Belarus,Jan 2021,2021,1,5668.825320221718,54052
BLR,Belarus,Feb 2021,2021,2,4087.0665790172493,38970
BLR,Belarus,Mar 2021,2021,3,3618.370131964951,34501
BLR,Belarus,Apr 2021,2021,4,3873.2218586011304,36931
BLR,Belarus,May 2021,2021,5,3744.2228364766447,35701
BLR,Belarus,Jun 2021,2021,6,2385.957523034191,22750
BLR,Belarus,Jul 2021,2021,7,3025.813648222393,28851
BLR,Belarus,Aug 2021,2021,8,3722.303490440858,35492
BLR,Belarus,Sep 2021,2021,9,5931.2282091286,56554
BLR,Belarus,Oct 2021,2021,10,6510.989667912469,62082
BLR,Belarus,Nov 2021,2021,11,5721.0541925940715,54550
BLR,Belarus,Dec 2021,2021,12,4655.711048902585,44392
BLR,Belarus,Jan 2022,2022,1,4598.133436588486,43843
BLR,Belarus,Feb 2022,2022,2,18540.515551408942,176783
BLR,Belarus,Mar 2022,2022,3,4506.680471309988,42971
BLR,Belarus,Apr 2022,2022,4,1849.8250018143765,17638
BLR,Belarus,May 2022,2022,5,264.50043398207606,2522
BLR,Belarus,Jun 2022,2022,6,0,0
BLR,Belarus,Jul 2022,2022,7,1171.478924496348,11170
BLR,Belarus,Aug 2022,2022,8,0,0
BLR,Belarus,Sep 2022,2022,9,0,0
BLR,Belarus,Oct 2022,2022,10,0,0
BLR,Belarus,Nov 2022,2022,11,0,0
BEL,Belgium,Feb 2020,2020,2,0.085793291530838,1
BEL,Belgium,Mar 2020,2020,3,1095.923506014925,12774
BEL,Belgium,Apr 2020,2020,4,3066.595412478274,35744
BEL,Belgium,May 2020,2020,5,846.0934410771245,9862
BEL,Belgium,Jun 2020,2020,6,261.3263660029326,3046
BEL,Belgium,Jul 2020,2020,7,628.3500671718575,7324
BEL,Belgium,Aug 2020,2020,8,1414.3024108858647,16485
BEL,Belgium,Sep 2020,2020,9,2849.709971488315,33216
BEL,Belgium,Oct 2020,2020,10,26662.581762079244,310777
BEL,Belgium,Nov 2020,2020,11,12707.359168381603,148116
BEL,Belgium,Dec 2020,2020,12,5932.6919026489795,69151
BEL,Belgium,Jan 2021,2021,1,5461.343558978556,63657
BEL,Belgium,Feb 2021,2021,2,5264.104781749159,61358
BEL,Belgium,Mar 2021,2021,3,9518.079349014231,110942
BEL,Belgium,Apr 2021,2021,4,9246.457788027597,107776
BEL,Belgium,May 2021,2021,5,6157.556119751306,71772
BEL,Belgium,Jun 2021,2021,6,1984.3988331082833,23130
