Rank,County,Area,Density,Province,Population,index,max_area,colour
1,Cork,7500,72.3,Munster,542868,2,7500,#00574C
2,Galway,6149,42,Connacht,258058,0,6149,#762F41
3,Mayo,5586,23.3,Connacht,130507,0,6149,#7C3748
4,Donegal,4861,32.6,Ulster,159192,1,4861,#464B00
5,Kerry,4807,30.7,Munster,147707,2,7500,#007167
6,Tipperary,4305,37.2,Munster,159553,2,7500,#0A766D
7,Clare,3450,34.4,Munster,118817,2,7500,#268178
8,Tyrone,3263,54.5,Ulster,179000,1,4861,#60641D
9,Antrim,3046,202.9,Ulster,618108,1,4861,#646825
10,Limerick,2756,70.8,Munster,194899,2,7500,#398B82
11,Roscommon,2548,25.3,Connacht,64544,0,6149,#A06974
12,Down,2466,215.6,Ulster,531665,1,4861,#6F7339
13,Wexford,2367,63.2,Leinster,149722,3,2367,#473E7A
14,Meath,2342,83.2,Leinster,195044,3,2367,#483F7B
15,Derry,2075,119.1,Ulster,247132,1,4861,#777A46
16,Kilkenny,2073,47.8,Leinster,99232,3,2367,#504880
17,Wicklow,2027,70.2,Leinster,142425,3,2367,#524981
18,Offaly,2001,38.9,Leinster,77961,3,2367,#534A82
19,Cavan,1932,39.3,Ulster,76176,1,4861,#7A7D4A
20,Waterford,1857,62.7,Munster,99232,2,7500,#559991
21,Westmeath,1840,48.2,Leinster,88770,3,2367,#585085
22,Sligo,1838,35.5,Connacht,65535,0,6149,#AC7983
23,Laois,1720,49.3,Leinster,84697,3,2367,#5C5588
24,Kildare,1695,131,Leinster,222504,3,2367,#5D5589
25,Fermanagh,1691,36.1,Ulster,61170,1,4861,#818353
26,Leitrim,1590,20.1,Connacht,32044,0,6149,#B07F88
27,Armagh,1326,131.8,Ulster,174792,1,4861,#8A8D60
28,Monaghan,1295,47.3,Ulster,61386,1,4861,#8B8E61
29,Longford,1091,37.4,Leinster,40873,3,2367,#746F9B
30,Dublin,922,1459.2,Leinster,2140164,3,2367,#7B76A1
31,Carlow,897,63.4,Leinster,56932,3,2367,#7D78A2
32,Louth,826,155.4,Leinster,128884,3,2367,#807CA5
