Title,ShortTitle,year,citescore
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2018-01-01,37.26
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2017-01-01,18.18
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2016-01-01,12.72
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2015-01-01,6.19
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2014-01-01,5.05
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2013-01-01,5.25
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2012-01-01,3.23
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2011-01-01,2.09
Journal of Statistical Software,JSS,2018-01-01,25.02
Journal of Statistical Software,JSS,2017-01-01,16.32
Journal of Statistical Software,JSS,2016-01-01,7.71
Journal of Statistical Software,JSS,2015-01-01,5.02
Journal of Statistical Software,JSS,2014-01-01,6.37
Journal of Statistical Software,JSS,2013-01-01,7.12
Journal of Statistical Software,JSS,2012-01-01,4.93
Journal of Statistical Software,JSS,2011-01-01,4.59
IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2018-01-01,19.67
IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2017-01-01,12.75
IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2016-01-01,13.29
IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2015-01-01,12.66
IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2014-01-01,11.05
IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2013-01-01,11.8
IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2012-01-01,10.09
IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2011-01-01,8.89
Foundations and Trends in Machine Learning,FTML,2018-01-01,19
Foundations and Trends in Machine Learning,FTML,2017-01-01,10.9
Foundations and Trends in Machine Learning,FTML,2016-01-01,10
Foundations and Trends in Machine Learning,FTML,2015-01-01,17.3
Foundations and Trends in Machine Learning,FTML,2014-01-01,16
Foundations and Trends in Machine Learning,FTML,2013-01-01,31.8
Foundations and Trends in Machine Learning,FTML,2012-01-01,15.82
Foundations and Trends in Machine Learning,FTML,2011-01-01,8.5
Proceedings of the IEEE International Conference on Computer Vision,ICCV,2018-01-01,16.64
Proceedings of the IEEE International Conference on Computer Vision,ICCV,2017-01-01,11.67
Proceedings of the IEEE International Conference on Computer Vision,ICCV,2016-01-01,9.92
Proceedings of the IEEE International Conference on Computer Vision,ICCV,2015-01-01,3.9
Proceedings of the IEEE International Conference on Computer Vision,ICCV,2014-01-01,2.49
Proceedings of the IEEE International Conference on Computer Vision,ICCV,2013-01-01,3.16
Proceedings of the IEEE International Conference on Computer Vision,ICCV,2012-01-01,1.64
Proceedings of the IEEE International Conference on Computer Vision,ICCV,2011-01-01,2.54
